node1,node2,CN,JC,AA,RA,PA
888,1986,0.9339114663039165,0.9791135294451057,0.9343082242249051,0.9322110752139658,0.8302159496684237
74,1646,0.9989514254945304,1.0,0.9992631638610213,0.9997166014850082,0.8653290256759054
1664,2037,0.9975911126225698,1.0,0.9982996089100493,0.9994898826730148,0.8859604375673071
298,1126,0.9339114663039165,0.9398911749702431,0.9429235390806552,0.9875304653403616,0.9122031400555461
741,1745,0.9530125262143626,0.9547695970073117,0.9670124128549566,0.9943887094031627,0.9288386328855637
1045,1562,0.9441704925466191,0.9700164371138695,0.9493850252224678,0.9648019044380207,0.8908065521736666
168,2049,0.9661622173099813,0.9863968712803944,0.9772147593946607,0.9960891004931134,0.9270248823896163
1398,1579,0.9661622173099813,1.0,0.9772147593946607,0.9971660148500822,0.6640877401802414
1333,1506,0.9988097262370346,1.0,0.9989230856430312,0.9993198435640197,0.7234597290710196
1655,1953,0.9339114663039165,0.9960607606416142,0.9585104574052032,0.997449413365074,0.47803661508813694
1269,1823,0.9661622173099813,1.0,0.9773847985036559,0.9968826163350905,0.4863401915773961
220,1836,0.9975911126225698,1.0,0.9980728900980559,0.9986396871280394,0.8761831888000907
901,1797,0.6706059060250524,0.9808989400895539,0.7206824236241002,0.8987133707419374,0.20931814317292977
205,1223,0.998412968316046,1.0,0.9988097262370346,0.9997166014850082,0.9639517088930454
383,1162,0.9999433202970016,0.9999433202970016,0.9999433202970016,1.0,0.9994332029700165
429,1590,0.9203933571388085,0.8625233803774868,0.9385025222467834,0.9919514821742335,0.8916850875701411
713,1527,0.9795386272175933,0.9987530465340362,0.9816357762285326,0.9876438247463584,0.8474465793799241
1519,1907,0.9989514254945304,1.0,0.9989797653460296,0.9993198435640197,0.9454174460125829
729,1549,1.0,1.0,1.0,1.0,0.9998866405940033
828,1879,0.9844981012299495,0.9822309131100153,0.9866235900923879,0.9905344895992745,0.9500651816584481
308,1468,0.8479850365584084,0.902652610100323,0.8618715637930058,0.9089157172816414,0.7533582724026526
523,809,0.9992915037125205,0.9955789831661283,0.9995465623760131,0.9997732811880066,0.9946721079181545
742,935,1.0,1.0,1.0,1.0,0.9975060930680724
281,1008,0.9958057019781217,1.0,0.9970526554440855,0.9987530465340362,0.8429405429915547
604,1432,0.990137731678286,1.0,0.9934251544521907,0.9983562886130477,0.6584197698804058
1106,1352,0.9661622173099813,1.0,0.9756277277107068,0.9965992178200986,0.6240435300119027
1465,1489,0.9203933571388085,0.9499234824009523,0.9380490846227966,0.9824859717735079,0.8526044323527745
567,778,0.9972793742560789,0.9998866405940033,0.9975060930680724,0.9980728900980559,0.9649152638440175
935,1163,1.0,1.0,1.0,1.0,0.9627047554270816
168,1787,0.9939352717791758,1.0,0.9953522643541348,0.9981862495040525,0.7672447996372499
384,512,0.9885790398458312,0.9931417559371989,0.9896276143513008,0.9918381227682367,0.970243155925863
562,1133,0.9972793742560789,0.9985830074250411,0.9980162103950575,0.9993198435640197,0.9910446069262597
976,1526,0.8085643031230516,0.6923425721249221,0.8144873320863799,0.8139772147593947,0.8513858187383098
558,1392,0.9885790398458312,0.9996599217820099,0.9934251544521907,0.9991498044550247,0.7640140565663436
72,621,0.9601258289406563,0.946069262597064,0.9668990534489599,0.9835628861304767,0.7351924275916795
481,852,0.9530125262143626,0.9730204613727824,0.9600974890891572,0.9848098395964405,0.8830130930113926
147,1379,0.9983562886130477,0.9997732811880066,0.9986396871280394,0.9996032420790115,0.9874171059343649
766,1812,0.9995749022275123,1.0,0.9996599217820099,0.9997732811880066,0.9705265544408548
696,1975,0.9018590942583461,0.9981862495040525,0.9352150994728787,0.9917814430652383,0.5551493510174007
298,1131,1.0,1.0,1.0,1.0,0.9231423227342289
258,1614,0.9885790398458312,0.9897976534602959,0.9899110128662926,0.9937652326701808,0.9705265544408548
1075,1854,0.9964575185626028,1.0,0.9973927336620756,0.9989797653460296,0.8903247746981806
735,1905,0.9823726123675112,0.9982429292070509,0.9846398004874455,0.9907045287082695,0.9171342742164031
213,1075,0.9866802697953863,0.9997166014850082,0.9914980445502466,0.9986396871280394,0.8541914640367284
926,1815,0.9756844074137051,1.0,0.9875304653403616,0.9993198435640197,0.27432976251204444
267,1315,0.9939352717791758,0.9985263277220428,0.9951255455421414,0.997449413365074,0.9386725613557785
1771,1950,0.8085643031230516,0.7264920931814317,0.8367057756617355,0.95068865839143,0.7598197585444653
427,1024,0.9844981012299495,1.0,0.9875304653403616,0.9967692569290937,0.7748682196905288
804,937,0.9601258289406563,0.9971093351470838,0.9699597574108711,0.9909879272232613,0.8292523947174517
4,106,0.9958057019781217,1.0,0.9971093351470838,0.9988664059400328,0.8850819021708326
1329,2001,0.9714617695403276,0.9782916737516295,0.9735872584027659,0.9807289009805589,0.9551663549283002
